R56, CT.QDD0520, CT.QFD0530, CT.QFH0610, CT.QFH0620, CT.QFH0640, CT.QDI0650, CT.QFF0660, CT.QFH0680, CT.QFF0690, CT.QDF0720, CT.QFJ0730, CT.QDJ0740, CT.QFG0750
0.190, 15.584, 14.821, 20.862, 17.477, 10.350, 8.844, 48.866, 13.635, 31.461, 11.980, 38.865, 65.992, 20.903
0.195, 15.318, 15.082, 20.551, 17.095, 10.693, 9.625, 49.131, 14.580, 29.762, 9.949, 38.405, 67.483, 21.252
0.200, 15.413, 14.791, 21.163, 17.552, 10.325, 8.674, 48.473, 13.630, 31.686, 12.708, 39.053, 66.027, 20.897
0.205, 15.417, 14.866, 21.256, 17.898, 10.322, 8.801, 48.673, 13.878, 31.227, 13.087, 38.985, 65.918, 20.775
0.210, 15.498, 14.835, 21.442, 17.185, 10.219, 8.810, 48.999, 14.115, 30.935, 13.017, 38.583, 65.606, 21.194
0.215, 15.437, 14.834, 21.721, 17.675, 10.152, 8.601, 48.551, 13.711, 31.783, 13.046, 38.691, 66.129, 21.257
0.220, 15.426, 14.816, 21.654, 17.154, 10.224, 8.600, 48.395, 14.051, 31.378, 13.065, 38.896, 65.676, 20.970
0.225, 15.463, 14.822, 21.728, 17.279, 10.225, 8.611, 48.150, 13.977, 31.680, 11.719, 38.714, 66.221, 21.002
0.230, 15.112, 14.914, 21.190, 16.864, 10.658, 9.150, 47.771, 14.930, 30.124, 10.187, 38.930, 66.839, 20.475
0.235, 15.556, 14.840, 21.943, 17.708, 10.135, 8.500, 48.253, 14.345, 31.088, 12.730, 38.874, 65.495, 20.471
0.240, 15.229, 14.875, 21.931, 17.643, 10.312, 8.766, 48.028, 14.559, 30.833, 12.455, 38.854, 66.084, 20.663
0.245, 15.231, 14.845, 22.127, 17.471, 10.241, 8.724, 48.157, 14.674, 30.707, 12.879, 38.709, 65.822, 20.812
0.250, 15.484, 15.072, 22.575, 16.908, 10.088, 8.407, 47.668, 13.906, 32.446, 12.998, 38.876, 66.423, 21.350
0.255, 15.347, 14.903, 22.491, 17.717, 10.120, 8.610, 48.030, 14.586, 31.088, 12.612, 38.585, 66.011, 20.854
0.260, 15.303, 14.895, 22.599, 17.644, 10.119, 8.474, 47.712, 14.568, 31.309, 12.907, 38.803, 65.942, 20.721
0.265, 15.218, 14.831, 22.703, 17.711, 10.122, 8.531, 47.566, 14.549, 31.495, 11.497, 38.406, 66.623, 21.007
0.270, 15.496, 15.037, 22.726, 18.002, 10.102, 8.644, 47.795, 14.859, 30.939, 11.826, 38.636, 66.091, 20.419
0.275, 15.294, 14.873, 23.148, 17.970, 9.957, 8.569, 48.084, 14.876, 30.889, 12.521, 38.103, 66.149, 21.116
0.280, 15.389, 15.001, 23.081, 17.658, 10.047, 8.569, 47.630, 14.868, 31.228, 11.810, 38.386, 66.335, 20.858
0.285, 15.334, 14.934, 23.246, 17.788, 9.995, 8.509, 47.675, 15.019, 30.992, 12.194, 38.331, 66.109, 20.812
0.290, 15.357, 14.977, 23.405, 17.897, 9.962, 8.525, 47.706, 15.100, 30.922, 12.294, 38.294, 66.098, 20.797
0.295, 15.829, 15.422, 23.498, 17.133, 9.964, 8.594, 47.664, 15.030, 31.365, 12.586, 38.639, 65.978, 20.711
0.300, 15.375, 14.978, 23.700, 18.032, 9.892, 8.470, 47.607, 15.203, 30.953, 12.034, 38.174, 66.191, 20.784
0.305, 15.119, 14.752, 23.349, 18.352, 10.054, 8.606, 47.489, 15.952, 29.517, 11.297, 38.301, 65.776, 19.979
0.310, 15.100, 14.715, 23.374, 18.445, 10.073, 8.597, 47.111, 15.859, 29.958, 9.612, 38.108, 66.567, 20.033
0.315, 15.400, 14.961, 24.057, 18.134, 9.819, 8.389, 47.419, 15.458, 30.839, 11.591, 38.074, 66.214, 20.629
0.320, 15.383, 14.882, 23.739, 17.817, 9.958, 8.195, 46.585, 15.616, 30.973, 10.611, 38.559, 66.082, 19.874
0.325, 15.412, 14.975, 24.053, 18.139, 9.882, 8.418, 47.021, 15.680, 30.798, 10.314, 38.109, 66.481, 20.287
0.330, 15.656, 15.246, 24.289, 17.822, 9.842, 8.461, 47.054, 15.564, 31.221, 10.649, 38.151, 66.470, 20.435
0.335, 15.480, 14.945, 24.425, 18.080, 9.760, 8.223, 46.907, 15.730, 30.966, 10.450, 38.050, 66.430, 20.312
0.340, 16.177, 15.514, 25.417, 18.259, 9.344, 8.237, 48.108, 15.616, 30.829, 13.990, 38.037, 65.165, 20.559
0.345, 15.903, 15.325, 25.620, 17.892, 9.360, 8.036, 47.448, 15.183, 32.011, 12.527, 37.589, 66.343, 21.308
0.350, 15.623, 15.196, 24.680, 18.111, 9.786, 8.456, 46.825, 16.012, 30.866, 9.587, 37.945, 66.656, 20.158
0.355, 15.334, 15.022, 24.101, 18.501, 10.029, 8.817, 46.656, 16.854, 29.229, 7.475, 37.891, 66.846, 19.315
0.360, 15.355, 14.897, 24.850, 18.644, 9.723, 8.549, 47.332, 16.884, 28.941, 9.879, 37.695, 66.073, 19.810
0.365, 16.502, 15.693, 26.111, 16.637, 9.299, 7.976, 47.146, 15.210, 32.711, 10.826, 37.104, 66.540, 21.527
0.370, 15.059, 14.710, 23.939, 18.866, 10.070, 8.782, 46.582, 18.012, 26.710, 7.636, 38.270, 65.322, 17.725
0.375, 16.041, 15.478, 25.322, 17.440, 9.640, 8.077, 46.561, 16.585, 30.488, 12.341, 38.710, 64.612, 19.150
0.380, 15.702, 15.060, 25.734, 18.174, 9.477, 8.186, 46.989, 16.668, 30.133, 9.847, 37.521, 66.406, 20.175
0.385, 15.732, 15.122, 25.929, 18.279, 9.441, 8.249, 47.110, 16.789, 29.948, 9.975, 37.449, 66.319, 20.173
